Boulder,Colorado,278750,260000,265000,260000,279000,275000,278000,289250,265500,277000,275000,285000,287200,273500,292735,285000,289700,320000,316050,326000,305000,333450,297000,320000,269500,281750,292400,299000,313500,315000,305000,292000,285000,306500,294272,306625,295000,282500,323250,303000,343377,330000,311500,322000,305000,308000,310034,325000,313750,326500,335000,340000,365000,351000,330000,334450,325000,333300,325000,352500,340000,339000,350000,355475,348950,361500,375050,355000,340000,345500,342750,359500,360000,340000,419500,379944,419500,385500,409000,384750,377500,405000,390000,412500,408500,409495,459950,460000,464000,475000,461664,432500,435000,440000,447800,420000,475500,450000,450000,485059,512900,509000,480000,480000,472000,497750,440000,492900,491038,499950,530450,525000,531450,535550,531500,495000,515000,515000,493750,539500,0
Santa Fe,New Mexico,349900,370000,389000,349900,379000,425000,347000,279000,375000,349700,319000,359000,350000,379900,332500,303950,359500,375000,349000,349850,390000,341750,350000,340000,392000,335000,348500,375450,349500,337000,335000,339000,299450,325000,345000,350000,344500,300000,349000,325000,325000,339000,317000,329500,297226,349950,350000,350609,304500,302703,299000,325000,310750,329000,390450,319000,369500,349500,350000,292250,318000,340500,309000,319500,298450,310000,350000,335000,349000,358350,332000,339450,315000,289000,327000,299500,354500,346500,349900,333950,342500,339000,307500,364000,334000,330000,352500,325000,385000,348000,344950,369000,345900,349500,335000,329000,365000,333500,329000,369900,382000,359000,354000,375000,369000,345000,399000,329000,348500,392000,365000,370000,385000,409900,365000,399000,395000,449000,427000,430000,0
Juneau,Alaska,0,256000,269900,269000,270900,273000,275000,269000,279000,270000,274000,279000,273000,275300,232000,269300,284000,299000,290500,292500,285800,282500,289900,289900,289900,295000,322500,311900,319900,312000,319000,310000,306300,297000,285000,279900,279500,277500,287500,304500,310000,315000,340000,339500,340000,323500,324000,315000,323000,315000,322000,315000,310000,315000,320000,322500,295000,299000,302500,320000,310000,297000,299900,295000,344000,337000,349500,347500,330000,340000,328500,324900,325000,329500,327500,325000,329900,339000,330000,335000,325000,323000,322500,319300,315000,312500,317300,335000,349500,344500,365000,343200,359000,365000,359000,345000,340000,338000,330000,345000,339900,345000,339000,350000,341200,349900,350000,357000,359000,369000,0,0,0,0,0,0,0,0,0,0,0
Baltimore,Maryland,225995,227000,240000,232500,235000,249900,249000,257000,244300,238875,230000,232000,229900,220000,222038,225000,230000,241750,240000,250000,239000,238000,230000,223700,217750,204900,200000,209900,215000,225000,235000,229000,230000,218500,220000,225000,217500,205000,210000,224455,235000,245000,245463,240000,240000,237000,233500,225000,225000,213000,225000,232000,243000,252000,270000,255900,248750,245000,245000,234765,230000,211000,231214,230000,246900,260000,265000,255000,235000,244250,240000,230000,225000,218000,223000,230000,250000,250000,255000,265000,250000,235000,235000,240000,227900,223600,230000,244500,250000,270000,275000,260000,257000,259900,250000,251000,239552,232500,240000,250500,270000,275000,279900,270000,265000,257500,259900,260000,239900,243000,257250,263615,269900,285000,290000,277000,270500,262750,267000,255000,0
Olympia,Washington,250000,253349,240000,235000,239950,242250,248500,249950,239975,228000,233747,224500,228250,230000,229000,229000,231570,237500,236450,239000,238516,220000,220141,226000,205000,211495,204950,214995,222000,224990,235000,223017,219900,211400,215500,215000,205907,216495,211000,218244,219475,229995,224500,223500,215700,225350,219000,203000,217998,225500,215000,229925,230000,225000,229000,237250,225000,215000,231250,226475,218750,214975,223700,222450,229900,237950,236053,239925,235000,233475,231000,239492,243895,227100,229000,230000,249950,251700,254000,255000,255000,250000,244900,245000,242000,249750,249825,259900,267500,270000,269503,275975,272690,268000,269200,275000,263100,271900,278300,280175,292893,292000,289925,289900,289000,279680,290643,286169,285250,299000,308500,301091,320000,321860,322000,323950,320000,315000,319220,324900,0
Portland,Oregon,245747,250000,240000,242000,244900,242500,239900,242500,235000,235000,230000,235000,229900,225000,233000,235000,232000,235500,239900,240000,235000,226000,230000,225000,212000,209700,208000,215000,214000,215000,220000,219700,221000,210000,220000,208000,201089,203000,210000,219000,229000,235000,235000,233738,229900,236000,234000,235000,236998,234700,245000,245000,260000,260000,270000,269000,268000,263000,264000,255000,254900,265000,265000,270000,279900,282995,289000,285000,280000,279900,279000,279925,270000,274869,285000,290003,302500,307000,305000,306703,299900,299900,305000,310000,300000,305000,324990,335000,339900,347000,342000,345000,340000,340100,340232,339000,340000,345000,354113,365000,371000,377000,379900,375000,371495,373000,365000,369945,385000,378720,384644,395100,400000,405000,395000,400000,385900,388000,385000,385000,0
Burlington,Vermont,211000,195375,221000,233308,219000,237948,227000,222500,213500,225000,204000,235000,231000,213250,221500,216000,215000,231500,245000,255000,240000,250000,239000,239000,213000,200000,220000,241600,228500,240000,230000,221900,227500,247000,227450,229950,205500,193750,222000,235750,229900,242000,245500,247750,258500,226250,242500,248450,230300,240200,228000,230000,236000,255000,249000,249750,232700,228250,234128,220000,242500,241500,234000,248500,246000,241250,266900,263135,240000,237000,257000,245000,236000,237000,230000,241000,251000,266000,262950,235500,244500,240000,250000,250000,239950,226750,225250,282000,249500,265950,256000,250000,249900,252377,269501,265981,251950,277381,255200,262500,262000,270000,274900,279000,269042,260000,284000,279950,274500,244823,265000,269500,275000,288500,286250,278500,300000,283000,284900,305000,0
Wilmington,Delaware,216750,205000,207000,210000,224950,220000,222000,218000,209950,210000,202000,200000,194500,205000,200000,200000,208500,209000,215000,216000,207000,210000,199000,208950,190500,176900,187000,180750,194900,193750,195250,204700,195000,184950,181000,175000,170000,164900,163750,169450,187000,193300,190100,191000,185000,183500,181900,185000,180000,171900,172500,181500,187950,220000,210000,200000,190000,200000,187400,195000,172500,180495,180000,180100,195000,204950,208000,210000,199900,200000,198000,190000,182500,205000,196750,198500,200100,220000,216619,214030,214000,205000,209950,199500,196000,189000,195000,199700,200000,214000,224950,215950,200000,211500,205775,210000,203000,189900,203450,200000,213000,225000,219900,215000,210000,205000,207750,210425,203000,183000,206921,200000,211750,229000,218250,224900,219900,208000,222500,223000,0
Manchester,New Hampshire,203950,181250,197750,190000,200000,225000,219000,216750,210000,205000,203500,204000,205000,185000,200000,206900,216900,229900,221850,222500,210000,200000,210000,210000,199700,170000,192000,194000,195000,210900,205000,199000,200000,188000,199000,179900,195000,175750,184700,184950,197000,196500,210000,191525,192850,210000,186450,193950,189250,195250,190000,200000,200000,224900,230000,219000,220000,216000,212150,211000,210000,198000,196000,208750,221500,225000,220000,228000,217500,217350,223700,216000,221825,223000,216500,225000,228500,245000,245000,240000,230000,224500,232517,227517,232533,225000,225000,235000,234933,240000,250000,250000,247500,237967,240000,248533,245000,239000,249500,250000,269817,272400,262767,269933,250000,258125,260000,260000,266500,244000,255000,265000,279533,287000,284217,275000,280000,273000,279933,265000,0
Salt Lake City,Utah,225000,220000,216500,215000,222000,219000,219900,216408,202000,205000,200000,210000,210841,205256,197500,197000,199450,217000,223000,215000,208000,201900,198000,195000,190550,179500,185000,182850,185000,188900,185000,182500,175000,181250,177600,178250,170550,175000,177000,191900,196400,192750,192000,201875,193250,201900,205000,200000,200364,209185,204900,220000,227000,233500,225500,227000,222000,216350,223068,225000,218000,222183,224000,222500,229700,233000,235000,235000,230000,229950,234400,236000,232000,227524,235000,240000,251750,252807,250000,245000,247000,244050,250000,246000,239014,245450,250850,254000,263870,270000,268875,265000,260000,262300,265561,264900,270000,260000,280000,285000,295000,295000,289225,287000,286900,294500,299900,290000,293000,303850,311861,307000,319490,323750,323000,314900,320750,322150,315000,319000,0
Portland,Maine,0,216500,216300,216000,215500,214800,214200,213700,213100,212700,212400,212300,212300,212400,212300,212600,213200,213900,214300,214400,214400,214200,213500,212500,211600,210800,209600,208500,208200,208200,207900,207800,208100,208300,208000,207700,207600,207600,207700,207600,207700,207700,207900,208200,209000,210000,211200,212500,213800,214900,216200,217200,217100,216600,216300,216100,215900,215900,216100,216000,216300,217200,218100,220300,223800,228100,231100,232800,232900,233000,233600,234400,234500,234900,235700,236200,236000,235000,234300,234400,235100,235600,236900,238400,239800,241600,243700,246000,248500,251300,254600,257800,260600,263300,265800,267800,269400,270500,271800,273100,273900,274500,275700,277000,277900,279300,281500,283500,285400,287800,290200,292100,294000,296100,298300,301000,304500,307400,308100,309600,312400
Denver,Colorado,156000,168000,180950,188500,195000,210000,210000,209500,200000,204000,195000,197000,185000,200000,203000,205000,210000,213075,220403,219000,209000,208000,205000,207500,189900,200000,202568,196500,209000,215000,210000,209700,204900,204000,205000,204000,200000,191725,209000,225000,235000,245000,240000,237800,235000,235000,235000,231950,226500,233000,247000,252375,255500,264900,264000,258000,254750,250001,246000,250050,250000,248000,262170,271000,272000,282500,281000,273500,272825,271500,275000,279900,285000,289900,315000,315000,320000,324950,315000,312000,305000,308500,311361,310000,315000,327500,340000,343000,358000,359950,355000,346500,346000,345000,347100,345250,348000,352500,368000,379900,377200,390000,380000,375000,372500,375000,370000,380000,380000,397925,403000,415000,418000,415500,410000,405000,395000,396900,392750,395000,0
Providence,Rhode Island,165000,162750,163950,167250,180000,192000,199900,207000,194000,195000,198000,187750,180000,180000,189000,194000,193000,207000,210000,208000,200000,205000,198000,195000,187951,185000,175000,176900,190000,210000,207050,194000,194250,177750,180000,170000,172400,165000,166850,177750,183750,199900,193500,199700,187500,190000,195000,189650,179250,180000,185000,184000,205000,221250,215000,220000,205000,200000,203000,195000,190000,189000,190000,204900,205000,227000,221000,220000,215000,222000,214500,202875,204500,200000,205000,205950,226750,235000,235000,235000,232000,225900,225000,224000,220000,214000,227000,230000,237550,245000,250000,244500,239900,235000,242500,235000,227500,228188,225000,240000,245950,263650,265000,255000,260000,250500,259900,250000,245000,245000,255000,257500,265000,276750,275000,272000,270000,270000,270000,265000,0
Carson City,Nevada,0,226500,223600,221000,217600,213600,209900,206500,203500,200700,198600,195700,193800,194900,193100,187400,183700,182900,181300,179200,177000,174600,171600,168600,165600,162000,158300,156100,155100,154000,152700,151900,151200,150400,149500,148900,148400,148000,148300,149100,149500,149600,150200,151400,152700,154200,155900,157700,159500,162300,166200,170300,173500,176900,179100,178700,177400,177300,178700,181100,183100,183100,183000,184700,187500,189600,192700,196100,199300,201800,204000,205700,206800,208600,210900,212400,213400,214600,215500,216900,219700,222400,224500,226500,228700,230900,233200,235000,236400,237500,239400,243000,247700,251000,253300,256100,259400,262300,265400,268500,270500,271400,272400,273600,274500,275200,275700,276100,277600,280000,282400,286700,291400,294900,298100,301500,304300,309300,315600,321400,325100
Sacramento,California,180000,180000,188000,188750,200000,205000,205000,205250,208000,210000,208000,206500,197000,195000,205000,204500,210000,210000,210000,205000,204000,199000,200000,191000,180000,180000,180000,185000,180000,185000,185000,185000,183750,177000,180000,178000,172750,176000,182500,185000,190000,195000,201000,205000,212000,210000,215000,220000,219000,225000,242000,247000,265000,270500,275000,275000,277000,275000,269000,272000,265000,280000,285500,287750,300000,300000,299000,300000,295150,296500,287500,296500,280000,305000,305000,315000,325000,325000,319000,315000,315000,315000,320000,320000,315000,320000,331000,337250,349000,355000,348000,350000,346000,345000,345000,340000,330000,340000,350000,358750,375000,378000,380000,380000,375000,375000,377750,375000,369000,376000,388000,395000,405000,405000,400000,392000,395000,386000,387500,390000,0
Provo,Utah,211000,217000,211000,202500,207000,200000,205000,203900,203900,198350,195441,201000,209950,195500,191000,185000,186150,195000,199000,190750,189050,189500,184900,187000,181375,179900,175000,180000,179900,174900,174650,183950,181500,177750,177250,172000,164900,180000,175000,183701,177635,183500,193350,194200,192500,193000,190000,190000,198000,200000,192000,191000,212600,212000,215500,212256,215000,211098,217378,219525,207630,210000,213250,215000,219900,228000,228000,230000,215000,223500,224081,234750,222300,228000,230000,225000,230000,243000,234150,235000,242000,238900,247000,244950,242000,252750,243000,251900,255000,259700,257300,270000,255250,253000,255298,260000,259900,263400,265000,272000,270250,273000,277250,278106,274000,281500,284595,275000,280000,302900,290500,299873,311525,317900,317745,316569,315390,309102,309122,316661,0
